,요리명,재료
268654,과카몰리,"['아보카도 1개', '양파 1/4개', '방울토마토 8개', '레몬즙 2T', '올리브유 2T', '후춧가루 약간', '맛소금 약간', '바질가루 1ts  어니언베이글']"
23209,고구마그라탕,"['고구마 으깬것 250g', '생크림 2큰술', '설탕 1큰술', '버터 1큰술', '아몬드슬라이스', '모짜렐라치즈  우유 270ml', '박력분 25g', '노른자 3개', '설탕 60g', '바닐라오일 약간', '버터 20g']"
157729,오렌지머핀,"['B.P 7g', '박력분 180g', '버터 150g', '설탕 160g', '계란 3개(150g)', '꿀 2밥수저(24g)', '우유 20g', '오렌지껍질 1개분']"
107072,황태김치국,"['찢은 황태 2줌', '김치 1/4포기', '다시마 2쪽(손바닥크기)', '양파 1개', '대파 1/2개', '멸치액젓 1큰술반', '국간장 3큰술', '설탕 1/4큰술', '소금 1/2큰술', '후추 1/3큰술', '물 2~2.5리터']"
107090,단호박샐러드,"['단호박 1개  마요네즈 100ml', '허니머스터드소스 50ml', '소금 1/2작은술', '설탕 1숟가락']"
302395,뉴욕핫도그,"['양파 1/3개', '밀가루박력분 또는 밀가루중력분 2큰술', '소금 적당량', '식용유 적당량  핫도그번 2개', '양파 1/4개', '피클 5~6개', '소세지 2개', '버터 또는 식용유 적당량', '마요네즈 적당량', '케찹 적당량', '허니머스타드 적당량']"
218674,스쿱쿠키,"['버터 50g', '슈가파우더 15g', '박력분 80g', '크림치즈 20g  녹차파우더 10g', '초코칩 20g  딸기파우더 10g', '크랜베리 20g  바나나파우더 10g', '슬라이스치즈 2장  아로니아파우더 10g', '건포도 20g']"
95310,호박나물,"['호박 1개', '양파 1/2개', '청양고추 1개', '홍고추 2개', '식용유 1T  양조간장 1T', '국간장 1t', '고춧가루 1T', '다진 마늘 1T', '깨소금 1T', '매실청 1T', '참기름 1T']"
267994,유자청피클,"['무 250g', '유자청 2Ts  물 100ml', '식초 100ml', '설탕 1Ts', '소금 1꼬집', '통후추 1/2Ts']"
3910,대파수육,"['삼겹살5줄', '양파2개', '대파5대', '마늘5알', '소주1/2컵', '소금', '후추약간']"
173226,대나무밥,"['대나무통 2개', '면보자기  쌀 2/3컵', '잡곡 약간', '대추 2개', '밤 2개', '은행 10알', '단호박 2조각', '호두 2개']"
94904,죽순들깨볶음,"['삶은죽순 300g', '양파 50g', '잔파 5g', '다진마늘 1t', '들기름 2T', '소금 약간', '통깨 1t', '물 3/4컵', '들깨가루 3컵']"
266194,둥근호박볶음,"['둥근호박2개  들기름2스픈', '새우1스픈', '홍고추1개', '육수 1/4컵', '소금1스픈', '대파', '다진마늘1뿌리']"
32411,로즈마리마늘빵,"['식빵 3~4장', '로즈마리  버터 40g', '다진마늘 2큰술', '꿀 5큰술']"
285198,치킨볶음밥,"['후라이드치킨 200g', '계란 3개', '연두 1T', '굴소스 1T', '식용유 3T', '소금 약간', '파슬리가루 약간', '다진 마늘 1T', '밥 2공기']"
305667,아몬드튀일,"['아몬드슬라이스 80g', '코코넛슬라이스 30g', '박력 쌀가루 30g', '아몬드가루 30g', '버터 42g', '알룰로스설탕 50g', '백설탕 30g', '계란 흰자 2개']"
55000,베이컨말이떡꼬치,"['떡', '미니피망', '베이컨', '치즈', '양파', '느타리버섯', '버터', '케찹', '칠리소스', '간장', '고추장', '올리고당']"
47893,오렌지레몬청,"['레몬', '오렌지', '굵은소금', '베이킹소다', '식초', '물  설탕']"
43341,보쌈,"['돼지고기(수육용)', '양파 1/2개', '대파(파뿌리도 있으면 추가) 1대', '무 1/4개', '홍고추 1개', '통마늘 6알', '통후추 1큰술', '월계수잎 2장  된장 1큰술', '소주 1/2컵', '커피알갱이 1큰술']"
285579,매콤참치비빔밥,"['밥 2~3인분', '참치 통조림 1캔', '조미김 1개', '부추 or 상추 적당량  고추장 1.5T', '설탕 1.5T', '간장 1T', '매운 고춧가루 0.5T']"
302179,두릅베이컨말이,"['두릅 8개', '베이컨 8줄', '올리브유 약간  고추장 1숟가락', '식초 1숟가락', '다진마늘 1/2숟가락', '올리고당 1/3숟가락', '참기름 약간', '통깨 약간']"
